duration,protocol_type,src_port,dst_port,pkt_count,byte_count,avg_pkt_size,flow_iat_mean,flow_iat_std,fwd_pkt_count,bwd_pkt_count,fwd_byte_count,bwd_byte_count,syn_flag,ack_flag,rst_flag,fin_flag,psh_flag,urg_flag,login_attempts,label
84.8118,6,50940,154,266,39368,148.0,0.26134,0.139847,107,159,23620,15748,1,0,1,1,0,0,81,SSH-Bruteforce
1.9672,17,65133,24,25,3475,139.0,0.004025,0.041578,14,11,2085,1390,0,1,0,0,1,0,1,GeoAnomaly
0.3166,17,1049,434,10,23000,2300.0,0.325883,0.027431,5,5,13800,9200,1,1,1,0,1,0,0,XSS
13.4546,17,36672,399,60,5640,94.0,0.345007,0.23976,31,29,3384,2256,1,1,0,0,0,0,1,BENIGN
0.2202,6,16128,1007,17,5780,340.0,0.454327,0.13803,7,10,3468,2312,1,1,0,0,1,0,1,XSS
50.9635,17,61548,716,361,64980,180.0,0.248856,0.192679,204,157,38988,25992,1,0,1,0,0,0,227,SSH-Bruteforce
213.9534,6,4778,672,6779,379624,56.0,0.273743,0.270094,3051,3728,227774,151850,1,0,0,0,0,1,0,DDoS
0.874,17,50429,457,5,4720,944.0,0.161271,0.142213,2,3,2832,1888,1,0,1,1,1,0,0,SQL-Injection
0.1195,6,7198,931,73,12556,172.0,0.038195,0.091578,36,37,7533,5023,1,1,0,0,1,0,0,Malware-C2
13.2442,17,16934,727,85,3570,42.0,0.242676,0.110885,51,34,2142,1428,0,0,0,0,0,0,0,ARP-Spoofing
22.467,1,49417,946,39,12558,322.0,0.124983,0.289645,21,18,7534,5024,0,1,0,0,0,0,0,BENIGN
1.9431,17,35255,320,20,9060,453.0,0.034061,0.270016,13,7,5436,3624,1,0,1,1,1,0,1,SQL-Injection
47.3345,6,58507,396,779,840541,1079.0,0.364169,0.22199,518,261,504324,336217,0,1,0,1,1,0,0,Ransomware
67.3339,17,10578,560,4466,25532122,5717.0,0.053714,0.187707,3114,1352,15319273,10212849,1,1,0,1,1,0,0,DataExfiltration
2.7599,6,3382,1,37,8695,235.0,0.069409,0.052065,21,16,5217,3478,0,0,0,0,0,0,0,Malware-C2
0.6823,6,57614,203,18,35370,1965.0,0.219084,0.071366,11,7,21222,14148,1,1,0,0,1,0,1,XSS
109.041,1,47725,491,5005,250250,50.0,0.157814,0.021803,3481,1524,150150,100100,1,0,0,0,0,0,0,DDoS
18.8089,6,19050,179,53,2120,40.0,0.150169,0.103338,27,26,1272,848,0,0,0,0,0,0,0,ARP-Spoofing
170.5069,1,18067,725,30746,2152220,70.0,0.083456,0.279151,17068,13678,1291332,860888,1,0,0,0,0,1,0,DDoS
24.8167,1,43263,496,31,14353,463.0,0.286537,0.106974,18,13,8611,5742,0,1,0,1,0,0,1,BENIGN
18.2761,1,21415,402,92,34316,373.0,0.245335,0.230032,50,42,20589,13727,0,1,0,1,1,0,0,BENIGN
22.7343,17,46149,29,28,9240,330.0,0.231609,0.136329,13,15,5544,3696,0,1,1,0,0,0,1,BENIGN
17.7315,17,34858,992,215,587165,2731.0,0.492505,0.234345,117,98,352299,234866,0,1,0,0,1,0,1,Ransomware
0.1593,1,57885,767,12,4284,357.0,0.274111,0.059054,5,7,2570,1714,0,1,0,1,1,0,1,BENIGN
10.3819,17,27802,333,76,15504,204.0,0.220197,0.234935,31,45,9302,6202,1,1,0,1,1,0,0,BENIGN
1.4314,6,22539,21,23,2576,112.0,0.16318,0.25776,14,9,1545,1031,1,1,0,0,1,0,0,Malware-C2
1.7957,1,18704,877,13,5720,440.0,0.17514,0.132576,7,6,3432,2288,0,1,0,1,1,0,7,PrivilegeEscalation
284.6862,1,28761,692,17627,1392533,79.0,0.004422,0.014857,9218,8409,835519,557014,1,0,0,0,0,1,0,DDoS
10.4588,17,36416,344,72,20808,289.0,0.18863,0.287962,30,42,12484,8324,0,1,0,0,1,0,1,BENIGN
23.1631,6,17649,632,25,12200,488.0,0.223285,0.234115,10,15,7320,4880,0,1,0,0,0,0,1,BENIGN
45.7611,6,30356,301,153,37026,242.0,0.328221,0.061683,81,72,22215,14811,1,1,1,1,1,0,151,SSH-Bruteforce
12.7924,1,18658,290,27,5076,188.0,0.349667,0.078735,17,10,3045,2031,0,1,0,1,0,0,1,BENIGN
97.5054,6,44332,674,1051,4604431,4381.0,0.354477,0.295823,526,525,2762658,1841773,1,1,0,0,1,0,0,DataExfiltration
15.8429,17,50472,138,90,31050,345.0,0.097751,0.256152,57,33,18630,12420,0,1,0,0,0,0,1,BENIGN
11.191,1,28111,411,3226,222594,69.0,0.165717,0.07366,1454,1772,133556,89038,1,0,1,0,0,0,0,PortScan
7.6408,17,33785,986,2682,158238,59.0,0.476117,0.065777,1856,826,94942,63296,1,0,1,0,0,0,0,PortScan
28.1657,6,59345,456,62,13888,224.0,0.282078,0.118251,43,19,8332,5556,1,1,0,1,1,0,1,BENIGN
3.2625,6,26936,358,79,9638,122.0,0.332256,0.188706,46,33,5782,3856,1,0,0,0,1,0,1,BENIGN
0.4615,6,62111,735,11,2618,238.0,0.102504,0.084846,5,6,1570,1048,0,1,0,0,1,0,1,PrivilegeEscalation
22.3652,1,61597,946,873,3377637,3869.0,0.064173,0.292935,608,265,2026582,1351055,0,1,0,0,1,0,2,Ransomware
93.7861,6,13995,962,20606,947876,46.0,0.449424,0.072984,8732,11874,568725,379151,1,0,0,0,0,1,0,DDoS
21.4626,6,35532,80,38,19228,506.0,0.093512,0.206757,23,15,11536,7692,0,1,0,0,1,0,0,BENIGN
4.565,1,27967,901,27,10287,381.0,0.340032,0.109953,18,9,6172,4115,0,1,0,1,1,0,1,BENIGN
18.8882,17,10856,176,23,9959,433.0,0.261891,0.166252,9,14,5975,3984,0,1,0,0,0,0,1,BENIGN
11.7662,1,50882,139,4655,269990,58.0,0.3996,0.03879,2811,1844,161994,107996,1,0,1,0,0,0,0,PortScan
22.792,17,54941,24,30,13950,465.0,0.165445,0.032297,13,17,8370,5580,1,0,0,0,1,0,1,BENIGN
22.7868,1,31239,332,27,4860,180.0,0.206641,0.204901,15,12,2916,1944,1,1,0,1,1,0,1,BENIGN
0.6147,17,56102,699,30,34860,1162.0,0.22788,0.15026,15,15,20916,13944,1,1,0,0,1,0,0,SQL-Injection
112.2763,17,42031,461,3021,20295078,6718.0,0.235491,0.150674,1562,1459,12177046,8118032,1,1,0,0,1,0,0,DataExfiltration
23.7457,6,60883,806,87,11223,129.0,0.364218,0.052481,54,33,6733,4490,0,0,0,0,0,0,0,BENIGN
0.1686,17,64239,555,30,28140,938.0,0.466825,0.051443,17,13,16884,11256,0,1,0,1,1,0,3,GeoAnomaly
4.4119,1,45867,231,16,5776,361.0,0.445985,0.090541,10,6,3465,2311,0,1,0,0,0,0,10,PrivilegeEscalation
1.1998,6,17259,499,30,12360,412.0,0.197512,0.027943,18,12,7416,4944,0,1,0,1,0,0,1,SQL-Injection
0.6716,1,15262,245,15,13695,913.0,0.325963,0.105604,7,8,8217,5478,0,1,0,1,1,0,1,SQL-Injection
4.464,1,63488,184,93,39060,420.0,0.016647,0.123936,55,38,23436,15624,0,1,0,0,1,0,0,BENIGN
29.0228,1,54523,657,32,11424,357.0,0.004203,0.174991,21,11,6854,4570,1,1,0,0,1,0,0,BENIGN
2.2222,6,16781,872,74,37000,500.0,0.326881,0.107583,40,34,22200,14800,1,0,0,0,0,0,0,Malware-C2
24.9518,6,52723,110,1014,46644,46.0,0.320066,0.088308,452,562,27986,18658,1,1,1,0,0,0,0,PortScan
21.4021,17,10343,533,392,25480,65.0,0.134093,0.220036,187,205,15288,10192,1,0,1,1,0,0,161,SSH-Bruteforce
39.0983,6,42975,541,35630,2636620,74.0,0.042111,0.052208,18368,17262,1581972,1054648,1,0,0,0,0,1,0,DDoS
25.0142,1,49111,88,60,24060,401.0,0.182646,0.158184,29,31,14436,9624,1,1,0,0,1,0,1,BENIGN
0.7412,17,61839,281,19,4427,233.0,0.304534,0.275761,10,9,2656,1771,1,1,0,1,1,0,1,SQL-Injection
81.906,6,48553,849,273,59241,217.0,0.159502,0.265723,165,108,35544,23697,1,0,1,0,0,0,167,SSH-Bruteforce
20.1336,1,38302,942,5,860,172.0,0.073569,0.105637,3,2,516,344,0,1,0,1,1,0,0,BENIGN
107.4718,17,43884,849,6797,53016600,7800.0,0.259496,0.092744,4727,2070,31809960,21206640,1,1,0,0,1,0,0,DataExfiltration
13.0894,6,16812,527,184,28336,154.0,0.3325,0.032954,105,79,17001,11335,0,0,0,0,0,0,0,DNS-Tunneling
100.578,17,27381,131,2225,17145850,7706.0,0.221715,0.217184,1258,967,10287510,6858340,0,1,0,0,1,0,0,DataExfiltration
47.6203,1,16884,523,220,11880,54.0,0.24893,0.089964,101,119,7128,4752,0,0,0,0,0,0,0,DNS-Tunneling
1.4888,1,24471,677,137,19043,139.0,0.102042,0.003623,88,49,11425,7618,1,0,0,0,0,0,0,DNS-Tunneling
14.1806,17,14183,808,51,25041,491.0,0.456058,0.237861,20,31,15024,10017,0,0,0,1,0,0,0,BENIGN
11.0531,1,31688,15,2090,89870,43.0,0.232997,0.204521,1224,866,53922,35948,1,0,0,0,0,0,0,PortScan
15.8967,1,18974,854,14,1974,141.0,0.161049,0.211837,8,6,1184,790,0,1,0,0,1,0,1,BENIGN
12.1529,6,49601,883,32,9920,310.0,0.116266,0.028751,18,14,5952,3968,0,1,0,0,0,0,0,BENIGN
38.5058,1,34055,256,377,59943,159.0,0.032353,0.104809,249,128,35965,23978,0,1,0,0,0,0,0,DNS-Tunneling
27.2497,1,49872,665,42,12936,308.0,0.012539,0.217077,27,15,7761,5175,0,1,0,0,1,0,0,BENIGN
62.9734,17,6199,648,34326,1544670,45.0,0.487776,0.167032,21394,12932,926802,617868,1,0,0,0,0,1,0,DDoS
53.2886,6,14124,858,470,302680,644.0,0.250632,0.051961,293,177,181608,121072,0,1,0,0,1,0,2,Ransomware
9.8528,6,3472,405,3421,181313,53.0,0.421861,0.291317,1645,1776,108787,72526,1,0,1,0,0,0,0,PortScan
14.4131,6,53505,977,85,12155,143.0,0.226527,0.02187,51,34,7293,4862,0,0,0,0,0,0,0,BENIGN
23.9495,6,16336,135,90,18900,210.0,0.232991,0.296208,61,29,11340,7560,0,1,0,1,1,0,0,BENIGN
0.0854,1,58751,323,27,26136,968.0,0.049231,0.058301,18,9,15681,10455,1,0,0,0,0,0,2,SQL-Injection
0.5567,1,25600,720,18,22986,1277.0,0.048412,0.116458,11,7,13791,9195,0,1,0,1,1,0,2,SQL-Injection
0.7842,17,44185,899,99,47718,482.0,0.152071,0.079871,46,53,28630,19088,0,0,0,0,0,0,0,BENIGN
109.5319,1,37418,658,222,28638,129.0,0.222557,0.205911,90,132,17182,11456,1,0,1,0,0,0,246,SSH-Bruteforce
100.3139,6,7022,277,7277,356573,49.0,0.498294,0.003085,3353,3924,213943,142630,1,0,0,0,0,1,0,DDoS
41.9834,1,9612,893,5320,21221480,3989.0,0.038353,0.072851,2251,3069,12732888,8488592,0,1,0,1,1,0,0,DataExfiltration
181.1506,1,12476,259,42387,2076963,49.0,0.367773,0.176303,22472,19915,1246177,830786,1,0,0,0,0,1,0,DDoS
4.0172,1,38236,558,26,8580,330.0,0.131393,0.13975,18,8,5148,3432,0,1,1,1,0,0,1,BENIGN
4.2447,1,41168,457,19,1235,65.0,0.451014,0.060085,9,10,741,494,1,1,0,0,1,0,0,Malware-C2
135.0886,17,22800,707,11602,684518,59.0,0.395822,0.042335,7753,3849,410710,273808,1,0,0,0,0,0,0,DDoS
20.7868,6,43403,571,3611,288880,80.0,0.169945,0.21085,1495,2116,173328,115552,1,0,1,0,0,0,0,PortScan
0.9172,1,64380,844,18,30762,1709.0,0.266253,0.135365,8,10,18457,12305,0,1,0,1,1,0,1,SQL-Injection
21.0971,1,48333,313,61,17019,279.0,0.355179,0.134013,25,36,10211,6808,0,0,1,0,0,0,0,BENIGN
6.0461,1,37812,395,20,6120,306.0,0.126687,0.079965,9,11,3672,2448,1,1,0,0,1,0,4,GeoAnomaly
56.3999,6,18251,5,596,2093748,3513.0,0.247055,0.288147,331,265,1256248,837500,1,1,0,0,0,0,2,Ransomware
6.73,1,61259,778,69,17733,257.0,0.439662,0.043932,38,31,10639,7094,0,1,0,0,0,0,1,BENIGN
1.9267,17,26773,488,30,9450,315.0,0.265632,0.048462,20,10,5670,3780,0,1,0,0,1,0,5,PrivilegeEscalation
14.1061,17,29976,554,2369,172937,73.0,0.4711,0.042966,1049,1320,103762,69175,1,0,1,0,0,0,0,PortScan
280.6337,1,2978,417,6549,36923262,5638.0,0.351101,0.154999,4205,2344,22153957,14769305,1,1,0,1,1,0,0,DataExfiltration
21.5215,1,4114,221,62,11160,180.0,0.301691,0.019986,39,23,6696,4464,0,1,0,0,1,0,0,BENIGN
8.307,6,32476,543,93,39060,420.0,0.366875,0.167738,51,42,23436,15624,0,0,0,1,1,0,1,BENIGN
0.083,17,22745,837,10,26000,2600.0,0.030406,0.021273,5,5,15600,10400,0,1,0,0,1,0,0,XSS
136.5928,6,20324,401,35064,1507752,43.0,0.079838,0.227882,17583,17481,904651,603101,1,0,0,0,0,1,0,DDoS
22.8658,1,56920,440,53,11872,224.0,0.487589,0.298479,22,31,7123,4749,0,0,0,0,0,0,0,BENIGN
119.5918,1,63430,430,9079,70834358,7802.0,0.484975,0.233325,4219,4860,42500614,28333744,0,1,0,0,1,0,0,DataExfiltration
1.1852,17,46793,412,21,35259,1679.0,0.079733,0.123949,13,8,21155,14104,1,0,0,1,1,0,1,SQL-Injection
13.9775,1,43354,403,432,61344,142.0,0.171171,0.269495,240,192,36806,24538,1,1,0,1,0,0,0,DNS-Tunneling
13.8709,6,63134,420,94,10058,107.0,0.271944,0.050421,39,55,6034,4024,1,1,0,1,1,0,0,BENIGN
1.2762,6,62620,186,165,5115,31.0,0.391174,0.159361,94,71,3069,2046,0,0,0,0,0,0,0,ARP-Spoofing
128.1649,17,5395,104,1255,3339555,2661.0,0.45724,0.014092,622,633,2003733,1335822,0,1,0,0,1,0,0,DataExfiltration
18.8794,1,65081,386,13,2418,186.0,0.367143,0.084283,7,6,1450,968,0,1,0,0,1,0,1,BENIGN
32.8966,1,2175,275,523,1080518,2066.0,0.411798,0.292235,308,215,648310,432208,1,1,0,0,0,0,1,Ransomware
28.3257,17,16548,421,54,10044,186.0,0.235477,0.086045,36,18,6026,4018,0,1,0,1,1,0,1,BENIGN
1.1743,1,24360,645,29,10585,365.0,0.436125,0.196027,12,17,6351,4234,0,1,0,0,1,0,5,GeoAnomaly
10.4024,6,65490,588,83,33781,407.0,0.194441,0.156292,42,41,20268,13513,0,0,0,1,1,0,1,BENIGN
254.026,17,11730,1015,31765,1302365,41.0,0.031833,0.103046,15928,15837,781419,520946,1,1,0,0,0,1,0,DDoS
11.0986,1,5763,479,65,27560,424.0,0.11598,0.255235,30,35,16536,11024,1,1,0,1,1,0,1,BENIGN
26.9433,1,30108,731,43,18060,420.0,0.2978,0.173882,23,20,10836,7224,0,1,0,0,0,0,1,BENIGN
8.5337,1,26512,176,75,31350,418.0,0.416238,0.165833,45,30,18810,12540,1,1,0,1,0,0,1,BENIGN
19.7507,1,2126,498,9762,11733924,1202.0,0.299225,0.24281,4592,5170,7040354,4693570,1,1,0,1,1,0,0,DataExfiltration
10.4567,6,40463,315,49,22785,465.0,0.016379,0.017614,21,28,13671,9114,0,1,0,0,0,0,1,BENIGN
283.4446,1,27840,1004,10645,1043210,98.0,0.075439,0.02061,4540,6105,625926,417284,1,0,0,0,0,0,0,DDoS
18.298,17,50356,657,87,24273,279.0,0.327702,0.042589,38,49,14563,9710,0,0,0,1,0,0,0,BENIGN
0.236,1,56463,799,54,15228,282.0,0.031543,0.222935,35,19,9136,6092,0,0,0,0,1,0,1,BENIGN
0.8778,17,41793,469,158,30178,191.0,0.134234,0.089196,109,49,18106,12072,1,1,0,0,0,0,167,SSH-Bruteforce
28.3846,6,11134,59,96,35040,365.0,0.159977,0.262223,67,29,21024,14016,0,1,1,1,0,0,0,BENIGN
26.9915,1,14810,523,84,15288,182.0,0.342024,0.166388,36,48,9172,6116,0,1,0,0,0,0,1,BENIGN
69.729,6,42035,964,46832,2669424,57.0,0.139782,0.115294,21658,25174,1601654,1067770,1,0,0,0,0,1,0,DDoS
1.2952,1,33272,603,19,23161,1219.0,0.225509,0.217442,10,9,13896,9265,0,0,0,1,1,0,0,SQL-Injection
9.6035,17,17350,156,34,5372,158.0,0.291099,0.210676,17,17,3223,2149,0,1,0,0,0,0,0,BENIGN
4.3176,17,16283,921,60,25320,422.0,0.487031,0.233959,29,31,15192,10128,1,1,0,0,0,0,0,Malware-C2
12.4179,1,48136,552,44,7568,172.0,0.464161,0.065794,25,19,4540,3028,0,1,0,1,1,0,1,BENIGN
18.2072,17,9385,311,47,4888,104.0,0.476046,0.263531,21,26,2932,1956,0,1,0,0,1,0,0,BENIGN
6.125,1,11839,205,60,25200,420.0,0.493319,0.266977,28,32,15120,10080,0,1,0,0,1,0,0,BENIGN
22.4536,1,45827,327,62,11346,183.0,0.13076,0.295363,28,34,6807,4539,0,1,0,0,0,0,0,BENIGN
67.5849,1,40602,312,11610,766260,66.0,0.341622,0.283446,6706,4904,459756,306504,1,0,0,0,0,1,0,DDoS
19.0194,1,30347,532,4611,198273,43.0,0.308052,0.160232,2175,2436,118963,79310,1,0,1,0,0,0,0,PortScan
19.3301,17,35314,104,261,9135,35.0,0.338032,0.02821,135,126,5481,3654,0,0,0,0,0,0,0,ARP-Spoofing
22.7223,6,24740,468,7,1547,221.0,0.227933,0.28272,2,5,928,619,0,1,0,0,0,0,1,BENIGN
16.0536,17,39696,97,45,11070,246.0,0.303298,0.029859,28,17,6642,4428,0,1,0,1,0,0,1,BENIGN
4.2432,1,33805,379,72,31464,437.0,0.057446,0.223622,40,32,18878,12586,1,0,0,1,1,0,0,BENIGN
21.1729,6,18302,90,4258,183094,43.0,0.319396,0.212121,2941,1317,109856,73238,1,1,1,0,0,0,0,PortScan
21.42,17,56850,257,72,34128,474.0,0.321634,0.054953,29,43,20476,13652,0,1,0,0,1,0,0,BENIGN
0.2363,6,13034,682,7,10808,1544.0,0.12073,0.244058,4,3,6484,4324,0,0,0,0,1,0,2,SQL-Injection
14.6075,17,6476,630,23,7452,324.0,0.314617,0.189753,9,14,4471,2981,0,0,0,0,1,0,0,BENIGN
84.0244,1,18663,1005,489,46944,96.0,0.494439,0.019219,304,185,28166,18778,1,0,1,0,1,0,88,SSH-Bruteforce
50.0201,6,48588,677,402,22914,57.0,0.423411,0.115458,202,200,13748,9166,0,1,0,1,0,0,0,DNS-Tunneling
0.7398,1,51420,744,10,22670,2267.0,0.185634,0.12456,5,5,13602,9068,0,1,0,0,1,0,0,XSS
131.4659,17,42870,546,7306,27850472,3812.0,0.487043,0.261632,4528,2778,16710283,11140189,0,1,0,0,1,0,0,DataExfiltration
27.1543,1,37351,716,96,6144,64.0,0.443269,0.27756,67,29,3686,2458,0,1,0,1,0,0,0,BENIGN
2.5791,6,63613,471,15,5670,378.0,0.064582,0.237659,7,8,3402,2268,1,0,0,1,0,0,0,Malware-C2
19.4371,1,28272,814,1566,120582,77.0,0.064055,0.162552,648,918,72349,48233,1,0,1,0,0,0,0,PortScan
1.0588,17,47993,199,149,5960,40.0,0.486997,0.275185,81,68,3576,2384,0,0,0,0,0,0,0,ARP-Spoofing
75.6977,17,16899,802,232,59160,255.0,0.287216,0.042206,152,80,35496,23664,1,0,1,0,1,0,139,SSH-Bruteforce
18.6053,1,52257,107,1022,78694,77.0,0.30971,0.23759,521,501,47216,31478,1,0,0,0,0,0,0,PortScan
0.9783,17,56018,729,2419,113693,47.0,0.234385,0.047094,1681,738,68215,45478,1,0,1,0,0,0,0,PortScan
24.4052,1,62391,154,20,9760,488.0,0.254095,0.276659,9,11,5856,3904,0,0,0,1,0,0,1,BENIGN
0.1095,17,1480,791,18,19188,1066.0,0.141455,0.264911,10,8,11512,7676,1,1,0,0,1,0,1,XSS
277.1032,6,24218,823,36617,1684382,46.0,0.32145,0.075303,16339,20278,1010629,673753,1,0,0,0,0,1,0,DDoS
0.7247,1,63730,856,7,8099,1157.0,0.236349,0.245273,3,4,4859,3240,0,1,0,1,1,0,1,SQL-Injection
0.3422,17,53668,658,74,18278,247.0,0.200104,0.117997,34,40,10966,7312,0,1,0,1,0,0,1,BENIGN
4.573,6,56828,513,10,2500,250.0,0.316714,0.076784,6,4,1500,1000,0,1,0,0,1,0,1,BENIGN
105.1228,17,44432,245,43200,2678400,62.0,0.051026,0.172653,17928,25272,1607040,1071360,0,0,0,0,0,1,0,DDoS
1.8359,6,8051,386,22,40216,1828.0,0.486081,0.063645,9,13,24129,16087,1,1,0,1,1,0,0,SQL-Injection
11.9728,6,28548,179,67,16616,248.0,0.22465,0.123221,46,21,9969,6647,0,1,0,0,0,0,0,BENIGN
70.0995,1,25697,98,280,46480,166.0,0.166368,0.289062,179,101,27888,18592,1,0,1,0,0,0,209,SSH-Bruteforce
1.9978,1,29824,1011,9,9144,1016.0,0.279603,0.226699,5,4,5486,3658,0,1,1,0,1,0,2,SQL-Injection
24.4154,1,44370,84,49,14700,300.0,0.444857,0.009208,20,29,8820,5880,1,0,0,1,1,0,0,BENIGN
0.3958,1,45357,519,7,11690,1670.0,0.167033,0.247606,4,3,7014,4676,0,1,0,1,1,0,1,XSS
0.6415,6,16778,466,5,3905,781.0,0.154501,0.224497,2,3,2343,1562,0,1,0,0,1,0,3,GeoAnomaly
203.612,6,31131,173,9787,45793373,4679.0,0.423038,0.069114,5708,4079,27476023,18317350,1,1,0,0,1,0,0,DataExfiltration
23.8385,1,40224,40,12,3264,272.0,0.240111,0.135989,5,7,1958,1306,0,1,0,0,0,0,1,BENIGN
10.9441,1,63939,393,93,14229,153.0,0.023417,0.290984,57,36,8537,5692,0,1,0,0,0,0,0,BENIGN
28.4669,1,23976,622,44,13288,302.0,0.038821,0.221458,21,23,7972,5316,0,1,0,0,0,0,0,BENIGN
18.5566,6,6812,121,2100,98700,47.0,0.245959,0.017393,1162,938,59220,39480,1,0,0,0,0,0,0,PortScan
21.8122,6,8610,933,41,16441,401.0,0.277525,0.052565,25,16,9864,6577,0,1,0,0,1,0,0,BENIGN
1.4339,6,11745,772,21,8589,409.0,0.23058,0.200666,13,8,5153,3436,0,1,0,0,1,0,1,SQL-Injection
13.6672,17,61930,293,82,26568,324.0,0.047799,0.284066,55,27,15940,10628,0,0,0,1,0,0,0,BENIGN
22.4032,17,41082,341,79,9006,114.0,0.356437,0.161562,32,47,5403,3603,0,1,0,1,0,0,0,BENIGN
147.0291,17,58322,936,3719,22354909,6011.0,0.259747,0.116625,2070,1649,13412945,8941964,0,1,0,0,0,0,0,DataExfiltration
26.8952,17,61268,890,75,35100,468.0,0.360667,0.252115,30,45,21060,14040,1,1,0,0,1,0,0,BENIGN
18.7912,17,52587,63,590,1801270,3053.0,0.200469,0.282655,340,250,1080762,720508,0,1,0,0,1,0,0,Ransomware
181.1807,17,3147,548,35768,2289152,64.0,0.227827,0.179602,17026,18742,1373491,915661,1,0,0,0,0,1,0,DDoS
274.231,1,11705,972,4790,20711960,4324.0,0.160567,0.264364,2263,2527,12427176,8284784,0,1,0,1,1,0,0,DataExfiltration
22.2294,17,4732,875,20,8160,408.0,0.323651,0.152377,13,7,4896,3264,0,1,0,0,0,0,1,BENIGN
0.8926,1,59712,361,19,46455,2445.0,0.365995,0.048845,12,7,27873,18582,0,1,0,1,1,0,0,XSS
56.1318,6,58176,867,8577,42130224,4912.0,0.095091,0.258296,3930,4647,25278134,16852090,0,1,0,1,1,0,0,DataExfiltration
20.8214,17,45970,110,80,15040,188.0,0.036599,0.151582,52,28,9024,6016,0,1,0,0,0,0,1,BENIGN
0.6665,17,17541,596,10,2960,296.0,0.018519,0.205082,4,6,1776,1184,0,0,0,0,1,0,7,PrivilegeEscalation
11.5284,17,33177,17,15,4140,276.0,0.304046,0.176708,7,8,2484,1656,0,1,0,0,1,0,1,BENIGN
4.0982,17,30365,684,15,5730,382.0,0.114537,0.138141,10,5,3438,2292,0,1,0,1,0,0,0,Malware-C2
21.0448,1,5763,207,40,7160,179.0,0.470175,0.236724,25,15,4296,2864,0,1,0,0,1,0,0,BENIGN
3.8625,17,64262,311,17,5984,352.0,0.436737,0.210965,7,10,3590,2394,1,0,0,0,0,0,6,PrivilegeEscalation
0.6864,17,27219,967,8,11480,1435.0,0.365098,0.128785,5,3,6888,4592,0,1,0,0,1,0,0,SQL-Injection
13.9366,6,14425,206,3918,258588,66.0,0.204532,0.186385,1877,2041,155152,103436,1,0,1,0,0,0,0,PortScan
2.1903,1,1852,816,22,3630,165.0,0.098552,0.292392,11,11,2178,1452,1,0,0,1,1,0,0,Malware-C2
23.973,17,55488,577,847,1644874,1942.0,0.325197,0.044739,511,336,986924,657950,1,1,0,0,1,0,1,Ransomware
23.2792,17,56119,260,25,1950,78.0,0.118,0.022245,11,14,1170,780,0,1,0,1,1,0,0,BENIGN
